t (s), a, T (GK), Tnu (GK), photons, baryons, neutrinos, phi (GeV^4), Y(n), Y(p), Y(2H), Y(4He), Y(7Li), eta
1.00038e-10,8.00000e-11,2.70000e+01,2.70000e+01,1.92821e-11,4.77854e-18,5.13916e-11,0.00000e+00,3.64497e-01,6.35503e-01,1.01151e-12,1.00000e-30,1.00000e-30,1.67206e-09
2.00038e-10,8.00000e-11,2.70000e+01,2.70000e+01,1.92821e-11,4.77854e-18,5.13916e-11,0.00000e+00,3.64497e-01,6.35503e-01,1.01151e-12,1.00000e-30,1.00000e-30,1.67206e-09
2.68424e-10,8.00000e-11,2.70000e+01,2.70000e+01,1.92821e-11,4.77854e-18,5.13916e-11,0.00000e+00,3.64497e-01,6.35503e-01,1.01151e-12,1.00000e-30,1.00000e-30,1.67206e-09
3.37354e-10,8.00000e-11,2.70000e+01,2.70000e+01,1.92821e-11,4.77854e-18,5.13916e-11,0.00000e+00,3.64497e-01,6.35503e-01,1.01151e-12,1.00000e-30,1.00000e-30,1.67206e-09
4.34893e-10,8.00000e-11,2.70000e+01,2.70000e+01,1.92821e-11,4.77854e-18,5.13916e-11,0.00000e+00,3.64497e-01,6.35503e-01,1.01151e-12,1.00000e-30,1.00000e-30,1.67206e-09
5.81201e-10,8.00000e-11,2.70000e+01,2.70000e+01,1.92821e-11,4.77854e-18,5.13916e-11,0.00000e+00,3.64497e-01,6.35503e-01,1.01151e-12,1.00000e-30,1.00000e-30,1.67206e-09
8.00662e-10,8.00000e-11,2.70000e+01,2.70000e+01,1.92821e-11,4.77854e-18,5.13916e-11,0.00000e+00,3.64497e-01,6.35503e-01,1.01151e-12,1.00000e-30,1.00000e-30,1.67206e-09
1.12985e-09,8.00000e-11,2.70000e+01,2.70000e+01,1.92821e-11,4.77854e-18,5.13916e-11,0.00000e+00,3.64497e-01,6.35503e-01,1.01151e-12,1.00000e-30,1.00000e-30,1.67206e-09
1.62364e-09,8.00000e-11,2.70000e+01,2.70000e+01,1.92821e-11,4.77854e-18,5.13916e-11,0.00000e+00,3.64497e-01,6.35503e-01,1.01151e-12,1.00000e-30,1.00000e-30,1.67206e-09
2.36433e-09,8.00000e-11,2.70000e+01,2.70000e+01,1.92821e-11,4.77854e-18,5.13916e-11,0.00000e+00,3.64497e-01,6.35503e-01,1.01151e-12,1.00000e-30,1.00000e-30,1.67206e-09
3.47535e-09,8.00000e-11,2.70000e+01,2.70000e+01,1.92821e-11,4.77854e-18,5.13916e-11,0.00000e+00,3.64497e-01,6.35503e-01,1.01151e-12,1.00000e-30,1.00000e-30,1.67206e-09
5.14189e-09,8.00000e-11,2.70000e+01,2.70000e+01,1.92821e-11,4.77854e-18,5.13916e-11,0.00000e+00,3.64497e-01,6.35503e-01,1.01151e-12,1.00000e-30,1.00000e-30,1.67206e-09
7.64169e-09,8.00000e-11,2.70000e+01,2.70000e+01,1.92821e-11,4.77854e-18,5.13916e-11,0.00000e+00,3.64497e-01,6.35503e-01,1.01151e-12,1.00000e-30,1.00000e-30,1.67206e-09
