10,5.99E+03,8.44E+07,7.23E+07
9,5.41E+03,8.04E+07,6.91E+07
8,4.81E+03,7.58E+07,6.53E+07
7,4.19E+03,7.07E+07,6.08E+07
6,3.56E+03,6.49E+07,5.55E+07
5,2.91E+03,5.82E+07,4.95E+07
4,2.24E+03,5.03E+07,4.25E+07
3.5,1.91E+03,4.59E+07,3.86E+07
3,1.59E+03,4.09E+07,3.44E+07
2.5,1.27E+03,3.55E+07,2.98E+07
2,9.52E+02,2.93E+07,2.46E+07
1.75,8.00E+02,2.60E+07,2.18E+07
1.5,6.52E+02,2.24E+07,1.88E+07
1.25,5.09E+02,1.85E+07,1.57E+07
1,3.73E+02,1.44E+07,1.23E+07
0.9,3.21E+02,1.27E+07,1.09E+07
0.8,2.70E+02,1.10E+07,9.45E+06
0.7,2.21E+02,9.26E+06,8.00E+06
0.6,1.75E+02,7.52E+06,6.54E+06
0.5,1.31E+02,5.79E+06,5.09E+06
0.45,1.10E+02,4.95E+06,4.37E+06
0.4,9.08E+01,4.12E+06,3.66E+06
0.35,7.23E+01,3.32E+06,2.97E+06
0.3,5.51E+01,2.56E+06,2.31E+06
0.25,3.94E+01,1.84E+06,1.68E+06
0.2,2.57E+01,1.20E+06,1.11E+06
0.18,2.08E+01,9.69E+05,9.01E+05
0.16,1.63E+01,7.56E+05,7.07E+05
0.15,1.42E+01,6.57E+05,6.17E+05
0.14,1.22E+01,5.63E+05,5.30E+05
0.13,1.04E+01,4.75E+05,4.49E+05
0.12,8.69E+00,3.94E+05,3.74E+05
0.11,7.11E+00,3.19E+05,3.04E+05
0.1,5.68E+00,2.51E+05,2.40E+05
0.09,4.39E+00,1.91E+05,1.84E+05
0.08,3.27E+00,1.39E+05,1.34E+05
0.07,2.30E+00,9.53E+04,9.25E+04
0.06,1.51E+00,6.01E+04,5.87E+04
0.05,8.92E-01,3.37E+04,3.31E+04
0.04,4.48E-01,1.57E+04,1.55E+04
0.03,1.70E-01,5.30E+03,5.28E+03
0.025,8.75E-02,2.50E+03,2.50E+03
0.02,3.66E-02,9.31E+02,9.34E+02
0.018,2.37E-02,5.67E+02,5.70E+02
0.016,1.43E-02,3.18E+02,3.20E+02
0.015,1.07E-02,2.29E+02,2.31E+02
0.014,7.82E-03,1.60E+02,1.62E+02
0.013,5.53E-03,1.08E+02,1.09E+02
0.012,3.77E-03,6.94E+01,7.02E+01
0.011,2.45E-03,4.24E+01,4.29E+01
0.01,1.51E-03,2.42E+01,2.46E+01
0.009,8.62E-04,1.28E+01,1.30E+01
0.008,4.50E-04,6.07E+00,6.16E+00
0.007,2.08E-04,2.51E+00,2.55E+00
0.006,8.09E-05,8.55E-01,8.71E-01
0.005,2.44E-05,2.21E-01,2.26E-01
0.004,4.90E-06,3.73E-02,3.81E-02
0.003,4.53E-07,3.02E-03,3.09E-03
0.002,6.41E-09,5.47E-05,5.61E-05
0.001,4.82E-14,1.14E-08,1.17E-08
